Eatery ID,Name,Address,Latitude,Longitude,Category,Price Range,Postal Code,Hygiene Rating,Outdoor Seating,Family Friendly,Self Service
1,Thomson Kitchen Indonesia,24 Banyan Drive,1.2619028,103.6747554,"cafe, food, point_of_interest, establishment",2,627757,B,Yes,Yes,Yes
2,The Coffee Bean & Tea Leaf,"50 Beach View Road, #01-02",1.2512949,103.8176257,"cafe, food, point_of_interest, store, establishment",2,Unknown,A,Yes,No,No
3,Baristart Coffee Singapore (Sentosa),"40 Siloso Beach Walk, Sentosa",1.2540393,103.8146173,"cafe, restaurant, food, point_of_interest, store, establishment",4,098996,A,No,No,Yes
4,E.A.C Eco Alfresco Cafe,51 Imbiah Walk,1.2549905,103.8145178,"cafe, food, point_of_interest, establishment",1,099538,B,No,No,No
5,Sweet Tooth Snack Shop,Sentosa Central Beach Bazaar,1.2516063,103.8171217,"cafe, food, point_of_interest, store, establishment",1,098997,A,No,No,Yes
6,luckin coffee - iFly Singapore,"43 Siloso Beach Walk, #01-02 iFly Singapore",1.2519442,103.8173361,"cafe, food, point_of_interest, store, establishment",3,099010,B,Yes,No,Yes
7,Sentosa,Siloso Beach Walk,1.2513855,103.8177688,"cafe, food, point_of_interest, store, establishment",2,099699,B,No,Yes,No
8,Privé @ Keppel Bay,"2 Keppel Bay Vista, #01-03 Marina at Keppel Bay, Singapore",1.2640047,103.8124338,"restaurant, cafe, food, point_of_interest, establishment",3,098382,A,Yes,Yes,Yes
9,Indrawan Cafe,1 Maritime Square,1.2642133,103.8198342,"restaurant, cafe, food, point_of_interest, establishment",2,099253,B,No,No,Yes
10,Celebrity Cafe & Bakery,8 Sentosa Gateway,1.2558734,103.8219,"bakery, cafe, store, food, point_of_interest, establishment",4,098269,B,No,Yes,No
11,Starbot Café,"8 Sentosa Gateway, Universal Studios",1.2547056,103.8214804,"cafe, restaurant, food, point_of_interest, establishment",2,098138,C,Yes,Yes,Yes
12,Dimbulah Coffee @ KBT,"1 HarbourFront Avenue, Keppel Bay Tower",1.2647674,103.8180135,"cafe, food, point_of_interest, establishment",2,Unknown,B,No,No,No
13,Food Projects @ Sky Fitness,3 Harbourfront Place,1.2648081,103.8192714,"cafe, food, point_of_interest, establishment",1,099254,C,No,No,No
14,tcc - The Connoisseur Concerto @ VivoCity,"1 HarbourFront Walk, #02 -149",1.2634601,103.8214988,"cafe, food, point_of_interest, establishment",2,098585,C,No,Yes,No
15,"Wildseed Café at 1-Flowerhill, Sentosa",6 Imbiah Road,1.2537753,103.8183899,"cafe, food, point_of_interest, establishment",2,099696,C,Yes,Yes,No
16,Arbora Cafe @ Sentosa,42 Imbiah Road,1.2552475,103.8177722,"cafe, food, point_of_interest, establishment",2,099701,A,No,Yes,Yes
17,"ZUS Coffee - 42 Imbiah Lookout, Sentosa","42 Imbiah Road, #01-02 to 01-04",1.2554156,103.8177207,"cafe, food, point_of_interest, establishment",4,099701,A,Yes,No,No
18,Starbucks,"3 Siloso Road, #01-03/04",1.2541646,103.8192778,"cafe, store, food, point_of_interest, establishment",2,098977,B,Yes,No,No
19,Kopifellas at KidZania,"31 Beach View Road, #01-01/02, A-04, KidZania Singapore @ Sentosa",1.2517415,103.8201997,"cafe, store, food, point_of_interest, establishment",3,Unknown,C,Yes,Yes,Yes
20,Kith Sentosa KidZania,"31 Beach View Road, #01-01/02 Sentosa Island",1.2515984,103.8202485,"cafe, food, point_of_interest, establishment",4,098008,B,No,No,Yes
21,Le Faubourg,"2 Gunner Lane #01-02 Mess Hall Block 17, opp The Barracks Hotel",1.2526575,103.8208749,"restaurant, cafe, bar, store, food, point_of_interest, establishment",2,099567,B,Yes,No,No
22,Starbot cafe,"26 Sentosa Gateway, Singapore",1.254623,103.8214036,"cafe, food, point_of_interest, establishment",4,098138,A,Yes,No,No
23,Twelve Cupcakes,"8 #01-73, Sentosa Gateway, Level 1 The Forum",1.2563211,103.8207757,"cafe, bakery, store, food, point_of_interest, establishment",2,098138,B,No,Yes,No
24,Starbucks Universal Studios Singapore,30 Sentosa Gateway,1.2558954,103.8218753,"cafe, store, food, point_of_interest, establishment",2,Unknown,B,Yes,Yes,No
25,Riley´s Cafe,Singapore,1.2538205,103.8237804,"cafe, food, point_of_interest, establishment",3,098269,C,No,Yes,No
26,Tivoli Coffee House,"26 Sentosa Gateway, B1-224/225 Resorts World Sentosa",1.2569917,103.8226099,"cafe, food, point_of_interest, establishment",3,098138,B,No,Yes,No
27,Cafe Casa,22 HarbourFront Avenue,1.2645353,103.8173298,"cafe, food, point_of_interest, establishment",3,Unknown,A,Yes,Yes,Yes
28,Wang Jiao House of Kaya Toast,"1 Maritime Square, Singapore",1.2638895,103.8198937,"cafe, food, point_of_interest, establishment",3,099253,A,Yes,No,Yes
29,"Awfully Chocolate VivoCity (CAFÉ) – Bakery, Cake Shop & Birthday Cakes","1 HarbourFront Walk, #01 155 / 156",1.2634224,103.8217739,"cafe, bakery, store, restaurant, food, point_of_interest, establishment",2,098585,A,No,Yes,Yes
30,The Coffee Bean & Tea Leaf - HarbourFront Centre,"1 Maritime Square 126 HarbourFront Centre #02-124, #125",1.2640901,103.8202066,"cafe, store, food, point_of_interest, establishment",2,099253,A,No,Yes,No
31,Kopi Korner (Harbourfront Centre) | Traditional Coffee | Wide range of Singapore Local Delights |,"1 Maritime Square, #01-K9/10",1.2640983,103.8202796,"cafe, food, point_of_interest, establishment",1,099253,A,Yes,No,No
32,luckin coffee - HarbourFront Tower 1,"1 Harbourfront Place, #01-03",1.2647934,103.8192617,"cafe, store, food, point_of_interest, establishment",4,099254,B,No,Yes,Yes
33,Ober Coffee Co.,"1 Harbourfront Place, #01-01, Singapore",1.2647934,103.8192617,"cafe, food, point_of_interest, establishment",1,099254,B,No,Yes,Yes
34,Kopi Satu,"1 Maritime Square, #01, #103 108, Singapore",1.2647313,103.8193854,"cafe, store, food, point_of_interest, establishment",4,099253,A,No,No,Yes
35,Fishball minced Meat Noodle,"1 Maritime Square, Singapore",1.2647313,103.8193854,"cafe, store, food, point_of_interest, establishment",1,099253,A,No,Yes,Yes
36,Mixed Veg. Rice,"1 Maritime Square, Singapore",1.2647313,103.8193854,"cafe, store, food, point_of_interest, establishment",3,099253,C,No,No,No
37,Herbal Soup,"1 Maritime Square, #01, #103 108, Singapore",1.2647313,103.8193854,"cafe, store, food, point_of_interest, establishment",4,099253,C,Yes,Yes,Yes
38,Roasted Delights,"1 Maritime Square, Singapore",1.2647313,103.8193854,"cafe, store, food, point_of_interest, establishment",2,099253,C,No,Yes,Yes
39,House of Soup,"1 Maritime Square, Singapore",1.2647313,103.8193854,"cafe, store, food, point_of_interest, establishment",3,099253,A,Yes,Yes,Yes
40,Ya Kun Kaya Toast,"1 Maritime Square, #03-59",1.2646346,103.8202814,"cafe, store, restaurant, food, point_of_interest, establishment",1,098585,B,Yes,No,No
41,Killiney @ Harbourfront,"1 Harbourfront Place, #01-08 HarbourFront Tower One",1.2648188,103.8192714,"cafe, store, food, point_of_interest, establishment",3,099254,C,Yes,Yes,No
42,Toast Box (HarbourFront Centre),"1 Maritime Square, #02-27 Singapore Cruise Centre, Singapore",1.26421,103.820236,"cafe, food, point_of_interest, store, establishment",1,099253,C,No,Yes,No
43,Hoshino Coffee @ VivoCity,"1 HarbourFront Walk, #01-165/166, Singapore",1.2635117,103.8212226,"cafe, restaurant, food, point_of_interest, establishment",3,098585,C,Yes,No,Yes
44,Umi's Spices,"1 Maritime Square, #01, #103 108",1.2642175,103.8203582,"cafe, food, point_of_interest, store, establishment",4,099253,B,No,No,Yes
45,Starbucks HarbourFront Centre,"1 Maritime Square, #01-76/77 Harbourfront Centre",1.2647211,103.8200969,"cafe, food, point_of_interest, store, establishment",2,099253,B,Yes,Yes,No
46,Popiah & Rojak,,1.2645879,103.8202449,"cafe, food, point_of_interest, store, establishment",3,098585,A,Yes,No,Yes
47,Starbucks VivoCity,"1 HarbourFront Walk, #01-43",1.2641298,103.8229767,"cafe, point_of_interest, food, store, establishment",2,098585,B,No,No,No
48,Toast Box (VivoCity B2),"1 HarbourFront Walk, B2-34 VivoCity, Singapore",1.2645746,103.8217174,"cafe, restaurant, point_of_interest, food, store, establishment",1,098585,B,Yes,Yes,No
49,KOI Thé @ Vivo,"1 HarbourFront Walk, B2-06B",1.2647139,103.8231658,"cafe, point_of_interest, food, establishment",2,098585,B,No,Yes,Yes
50,Malaysian street food,Sentosa Island,1.2494041,103.8303209,"cafe, food, point_of_interest, store, establishment",2,099023,C,No,No,Yes
51,Cedele Bakery Cafe - VivoCity,"1 HarbourFront Walk, #01-113/114 Vivo City",1.2634795,103.8223127,"cafe, restaurant, food, point_of_interest, establishment",2,098585,C,Yes,Yes,Yes
52,Da Paolo Gastronomia - VivoCity,"1 HarbourFront Walk, #01-108 VivoCity, Singapore",1.2634725,103.8225241,"cafe, grocery_or_supermarket, restaurant, food, point_of_interest, store, establishment",2,098585,C,No,Yes,Yes
53,Kenangan Coffee Vivo City,"1 HarbourFront Walk, #02-98A VivoCity, Singapore",1.2635365,103.8222894,"cafe, food, point_of_interest, store, establishment",3,098585,C,No,Yes,No
